지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm)
108,서울,2021-04-04,11.9,9,2400,15.8,1337,5.75,.2,.4
108,서울,2021-04-05,11.9,5.4,629,19.3,1614,,,
108,서울,2021-04-06,13.9,9.4,510,19.2,1343,,,
108,서울,2021-04-07,14.1,8.1,607,20.4,1335,,,
108,서울,2021-04-08,13,7.2,616,18,1516,,,
108,서울,2021-04-09,13.6,7.6,416,19.6,1558,,,
108,서울,2021-04-10,12.6,7.7,607,18.8,1459,,,
108,서울,2021-04-11,15,7.5,639,21.8,1610,,,
108,서울,2021-04-12,13.8,11.9,1703,17.8,1132,14.17,1.6,5.4
108,서울,2021-04-13,10.4,5.7,2355,13.5,1343,6.75,.8,3
108,서울,2021-04-14,8.4,3.1,544,13.3,1224,,,
108,서울,2021-04-15,11.6,6.3,313,18.3,1454,,,
108,서울,2021-04-16,11.3,8.1,2400,14.8,1602,3.5,.3,.7
108,서울,2021-04-17,9.6,6,611,14.6,1527,1.58,0,0
108,서울,2021-04-18,9.9,5.6,607,15.3,1602,,,
108,서울,2021-04-19,12.2,5.8,542,19.4,1440,,,
108,서울,2021-04-20,14.8,8.1,614,22,1552,,,
108,서울,2021-04-21,19.1,10.3,601,28.2,1601,,,
108,서울,2021-04-22,20.9,16.1,251,27.5,1356,,,
108,서울,2021-04-23,19,17,703,21.7,1350,4,0,0
108,서울,2021-04-24,18.3,15.3,637,22.2,1540,.67,0,0
108,서울,2021-04-25,18.2,12.6,500,24,1645,,,
108,서울,2021-04-26,16.2,12.3,614,20.6,1408,,,
108,서울,2021-04-27,15.4,12.5,430,20,1427,4,2.2,5.8
108,서울,2021-04-28,14.5,11.2,602,18.2,1419,1.33,1.4,4.7
108,서울,2021-04-29,14.6,10.9,538,20.1,1609,4.33,1.2,4.3
108,서울,2021-04-30,11.3,8.6,414,14.6,1227,9.75,1.8,8.9
108,서울,2021-05-01,10.2,8.5,2326,15.3,1256,11.67,1.5,5.3
108,서울,2021-05-02,12.4,7.3,602,18.7,1436,2.5,.4,1.2
108,서울,2021-05-03,14.1,8.4,555,20.3,1520,,,
108,서울,2021-05-04,13.8,11.4,300,15.8,1915,16.25,1.5,5.1
108,서울,2021-05-05,13.9,10.3,620,18.4,1509,.5,.1,.4
108,서울,2021-05-06,15.7,7.9,538,23.1,1420,,,
108,서울,2021-05-07,14.4,10.7,2357,17.2,1505,1.5,5.9,8.8
108,서울,2021-05-08,14.3,8.9,547,21,1437,,,
108,서울,2021-05-09,15.7,10,513,21.8,1551,,,
108,서울,2021-05-10,13.2,11.7,230,14.6,1716,3.08,0,0
108,서울,2021-05-11,18.5,9.4,414,25.7,1514,,,
108,서울,2021-05-12,22,16.9,529,27.7,1626,,,
108,서울,2021-05-13,22.9,16.6,542,29.6,1459,,,
108,서울,2021-05-14,24.1,18,558,30.8,1541,,,
108,서울,2021-05-15,22.1,20.8,1911,26.2,1204,14,2.2,5.8
108,서울,2021-05-16,18.4,14.8,2345,20.8,1,24,2.6,11.3
108,서울,2021-05-17,15.3,14.2,442,16.7,1815,13.83,.4,1.7
108,서울,2021-05-18,17.9,13.6,403,24.5,1611,,,
108,서울,2021-05-19,19.9,12.4,557,26.6,1503,,,
108,서울,2021-05-20,18.7,15.6,2335,22.9,1252,11.15,.3,.5
108,서울,2021-05-21,16,14.2,637,18.2,1820,15.17,1.3,2
108,서울,2021-05-22,18.6,13.8,531,23.8,1309,.92,.2,.2
108,서울,2021-05-23,19.5,14.3,521,25.1,1328,,,
108,서울,2021-05-24,19.4,16.4,536,24.5,1525,,,
108,서울,2021-05-25,15.3,11.9,854,19.3,1632,4.58,2.1,5.4
108,서울,2021-05-26,18,11.5,513,23,1513,.67,0,0
108,서울,2021-05-27,15.8,13.9,2301,18.7,1611,5.92,2.1,6.5
108,서울,2021-05-28,15.3,12.4,844,19.7,1556,7.83,1.7,4.7
108,서울,2021-05-29,15.4,12.8,2353,19.1,1017,8.42,.2,.2
108,서울,2021-05-30,18.4,10.8,540,26.3,1603,4,4,11.3
108,서울,2021-05-31,19.9,16.5,417,23.8,1725,2.5,3.2,4.7
108,서울,2021-06-01,20.2,15.9,811,23.9,1311,4.42,1.3,2.3
108,서울,2021-06-02,23.2,16.6,453,29.7,1531,,,
108,서울,2021-06-03,19.1,14.6,2335,22.7,1143,12.17,2.5,5.1
108,서울,2021-06-04,18.5,13.3,419,23.6,1530,,,
108,서울,2021-06-05,20.8,17,359,25.7,1524,,,
108,서울,2021-06-06,23,18.4,138,28.2,1529,,,
108,서울,2021-06-07,21.1,19.4,353,24,1734,3.58,0,0
108,서울,2021-06-08,23.6,18.8,533,29.5,1539,.92,.1,.1
108,서울,2021-06-09,25.8,19.5,453,31.6,1525,,,
108,서울,2021-06-10,24.9,20.5,2349,29.8,1441,6.67,2,5.1
108,서울,2021-06-11,21.5,19.9,50,24.4,1628,4.17,1,2.6
108,서울,2021-06-12,24.2,18.2,444,30.2,1514,,,
108,서울,2021-06-13,24.8,20.9,513,29.7,1620,,,
108,서울,2021-06-14,24.8,18.9,609,30.2,1452,,,
108,서울,2021-06-15,22.5,21.5,523,25.3,1751,7.92,.3,.9
108,서울,2021-06-16,24.3,20.3,347,28.9,1622,,,
108,서울,2021-06-17,21.9,19.6,439,25,1247,4.25,0,0
108,서울,2021-06-18,20,19,601,21.4,1711,12,.5,1.7
108,서울,2021-06-19,22.3,17.5,550,27.4,1553,,,
108,서울,2021-06-20,22.9,17.6,520,29,1319,,,
108,서울,2021-06-21,23.6,19.2,511,28.5,1457,,,
108,서울,2021-06-22,22.8,19.7,538,28.6,1347,2.08,0,0
108,서울,2021-06-23,22.4,18.8,528,27.9,1504,.67,5,7.5
108,서울,2021-06-24,23,18.5,443,28,1540,,,
108,서울,2021-06-25,24.1,19.5,551,29.5,1619,,,
108,서울,2021-06-26,22.8,19.9,557,26.7,1549,11.42,.7,2.6
108,서울,2021-06-27,24.5,19.8,447,30.8,1511,3.42,11.7,37.7
108,서울,2021-06-28,23.7,21,629,29.2,1447,1.67,.1,.1
108,서울,2021-06-29,23.9,21.3,442,28.4,1531,1.67,3.8,8
108,서울,2021-06-30,24.3,21,405,28.8,1654,1.35,3.4,6
108,서울,2021-07-01,26.3,21.4,519,31,1525,,,
108,서울,2021-07-02,27.1,23.6,538,31.8,1612,,,
108,서울,2021-07-03,22.6,19.6,2208,25.7,1,9.42,4,13.8
108,서울,2021-07-04,21.4,19.8,1,23.1,1500,18.33,1.2,5.3
108,서울,2021-07-05,23.3,20.1,328,26.9,1444,,,
108,서울,2021-07-06,25.3,21,450,30.1,1437,,,
108,서울,2021-07-07,26.4,23.9,419,29.1,1441,4.67,8.5,12.4
108,서울,2021-07-08,26,23.8,520,29.8,1451,2,1,2.7
108,서울,2021-07-09,25.5,23.6,335,29.2,1530,.25,0,0
108,서울,2021-07-10,25.9,23.1,631,29.2,1340,2.8,.2,.2
108,서울,2021-07-11,25.7,24.1,700,27.5,1552,5.17,.3,.4
108,서울,2021-07-12,28.1,23.8,557,32.5,1604,,,
108,서울,2021-07-13,28.8,26.3,429,31.5,1431,,,
108,서울,2021-07-14,29.7,26.1,447,33.5,1508,,,
108,서울,2021-07-15,29.1,25.9,2344,34.5,1347,2.07,0,0
108,서울,2021-07-16,28.8,24.2,508,35.2,1538,,,
108,서울,2021-07-17,29.1,24.7,521,32.8,1557,.17,0,0
108,서울,2021-07-18,29.6,25.7,551,34.1,1546,,,
108,서울,2021-07-19,26.4,24,1532,30.5,1134,5,26.6,65.7
108,서울,2021-07-20,27.9,23.6,532,31.8,1159,.83,0,0
108,서울,2021-07-21,30.5,25.3,556,35.3,1654,,,
108,서울,2021-07-22,31.2,26.5,621,35.9,1615,,,
108,서울,2021-07-23,31.2,27.2,541,35.8,1604,,,
108,서울,2021-07-24,31.7,26.9,548,36.5,1508,,,
108,서울,2021-07-25,31.5,27.2,542,35.9,1547,,,
108,서울,2021-07-26,31.2,27.4,608,35.4,1521,,,
